PD_NO,PD_EXG_MKT,PD_NM,PD_ABRV_NM,PD_ENG_NM,PD_ABRV_ENG_NM,PD_CTRY_CD,PD_PBCM,STD_PD_MCLS_NM,STD_PD_SCLS_NM,BD_KND,CURR_CD,ISU_BAL_AMT,ISU_DT,MAT_DT,SRFC_IRT,PD_EVCO_CRD_GRD,PD_RISK_GCD,PD_STD_INFO_UPDATE,BUY_YIELD,CORP_PRETAX_YIELD,CORP_AFTER_TAX_YIELD,AFTER_TAX_YIELD,PREF_TAX_YIELD,AVG_ANNUAL_TAX_YIELD,DEPO_EQUIV_YIELD_154,BUYABLE_QUANTITY,REMAINING_DAYS,DUR,COV,NDY_DUR,NDY_COV,EVAL_PRICE,APPLIED_YIELD,DIRTY,NDY_EVAL_PRICE,NDY_APPLIED_YIELD,NDY_DIRTY,CRD_GRD,CRD_GRD_DT
KR609592BC34,장내,현대커머셜436-1,현대커머셜436-1                         ,HYUNDAI COMMERCIAL436-1                                                         ,HYUNDAI COMMERCIAL436-1                 ,KR,현대커머셜(주)                      ,회사채,일반사채,할부금융채                    ,KRW,0,20220324,20250318,3.241,"AA-, AA-, AA-",5,20250319,,,,,,,,,0,0,0,0,0,10074.59,0,10074.59,0,0,0,AA-,20250227
KR601980FD93,장내,하나캐피탈403-6,하나캐피탈403-6                         ,HANA CAPITAL403-6                                                               ,HANA CAPITAL403-6                       ,KR,하나캐피탈(주)                      ,회사채,일반사채,할부금융채                    ,KRW,20000000000,20230915,20270913,4.874,"AA-, AA-, AA-",5,20260224,,,,,,,,,566,1.4788,2.6001,1.4778,2.592,10332.77,3.3,10332.77,10333.71,3.3,10333.71,AA-,20230915
KR354701GFB7,장내,부산교통공사 2025-16,부산교통공사2025-16                     ,BUSAN TRANSPORTATION CORPORATION2025-16                                         ,BUSAN TRANS2025-16                      ,KR,부산교통공사                        ,특수채,일반사채,일반지방공사채                ,KRW,9600000000,20251113,20281113,3.24,"AA+, AA+",6,20260224,,,,,,,,,993,2.5931,7.5097,2.5929,7.4974,9944.440000000001,3.493,9944.440000000001,9945.41,3.493,9945.41,AA+,20251113
KR614017BA66,장내,케이비국민카드306-3                                                                                 ,케이비국민카드306-3                     ,KB KOOKMIN CARD306-3                                                            ,KB CARD306-3                            ,KR,(주)KB국민카드                      ,회사채,일반사채,신용카드채                    ,KRW,10000000000,20200629,20250627,1.584,"AA+, AA+, AA+",5,20250630,,,,,,,,,0,0,0,0,0,10039.05,2.532,10039.05,0,0,0,AA+,20250530
KR6065908FB3,장내,현대카드946-5,현대카드946-5                           ,HYUNDAI CARD946-5                                                               ,HYUNDAI CARD946-5                       ,KR,현대카드(주)                        ,회사채,일반사채,신용카드채                    ,KRW,100000000000,20251126,20281124,3.335,"AA+, AA+, AA+",5,20260224,,,,,,,,,1004,2.6006,7.6103,2.6006,7.5993,10010.65,3.606,10010.65,10011.63,3.606,10011.63,AA+,20251126
KR6146973EA5,장외,대진기계7-3(PCBO사모),대진기계7-3                             ,DAE JIN MACHINARY7-3                                                            ,DAE JIN MACHINARY7-3                    ,KR,(주)대진기계                        ,회사채,일반사채,일반회사채                    ,KRW,800000000,20241024,20271024,0,,1
KR6000112F29,장외,스탠다드차타드은행25-02-이02-27,스탠다드차타드은행25-02-이02-27         ,StandardCharteredBank25-02COUPON02-27                                           ,SCBank25-02COUPON02-27                  ,KR,(주)한국스탠다드차타드은행          ,회사채,은행채,일반은행채                    ,KRW,250000000000,20250227,20260827,2.82,"AAA, AAA, AAA",5,20260224,,,,,,,,,184,0.4996,0.3738,0.4978,0.3712,10067.74,2.828,10067.74,10068.51,2.828,10068.51,AAA,20250226
KR60123J2FA9,장외,한솔제육십차1-7(사모),한솔제육십차1-7                         ,Hansol 60th1-7                                                                  ,Hansol 60th1-7                          ,KR,한솔제육십차(주)                    ,회사채,일반사채,Conduit회사채                 ,KRW,83000000,20251023,20270405,3.1,,5,20260224,,,,,,,,,405,1.0718,2.1839,1.0691,2.1757,9621.91,3.529,9621.91,9622.84,3.529,9622.84,AAA,20251023
KR6140176DB1,장내,케이비국민카드392-6,케이비국민카드392-6                     ,KB KOOKMIN CARD392-6                                                            ,KB CARD392-6                            ,KR,(주)KB국민카드                      ,회사채,일반사채,신용카드채                    ,KRW,140000000000,20231113,20261113,4.741,"AA+, AA+, AA+",5,20260224,,,,,,,,,262,0.7058,0.6713,0.7042,0.6666,10141.28,2.953,10141.28,10142.12,2.953,10142.12,AA+,20231113
KR6025083F39,장내,하나에프앤아이189-3,하나에프앤아이189-3                     ,Hana F&I189-3                                                                   ,Hana F&I189-3                           ,KR,하나에프앤아이(주)                  ,회사채,일반사채,기타금융회사채                ,KRW,160000000000,20250312,20280310,3.338,"A+, A+",4,20260224,,,,,,,,,745,1.9509,4.3624,1.9503,4.3524,9988.200000000001,3.749,9988.200000000001,9989.23,3.749,9989.23,A+,20250312
