bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prfd_attr_cd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm
MSCI ACWI  90% + Call 10%,MSCI ACWI  90% + Call 10%,KRW,Y,000,글로벌,28.45,5.22,16.06,10.80,170015505486.0000,10,-4.08,31.28,34.79,69.11,57.76,0,0010173C6585,0,배당,삼성픽테로보틱스자투자H(주식재간접)CP,,삼성픽테로보틱스증권자투자신탁H[주식-재간접형]_C-P,삼성픽테로보틱스증권자투자신탁H[주식-재간접형]_C-P,KR5114490108,16123A12036021111ZZB,KRZ502066378,01MBC00,0,재간접,00040010,해외,개인,00,M111,해당없음,공모,0302001MBC00,판매중,K55105BF5443,Y,00020088,2,높은 위험
TOPIX 100 CR,TOPIX 100 CR,KRW,Y,000,아시아,65.82,1.59,18.87,27.14,4833758068.0000,10,-3.55,70.99,70.90,105.31,143.70,0,000000000000,0,배당,신한일본인덱스자제1호(H)(주식)(A1),,SH JAPAN INDEX SECURITY FEEDER INVESTMENT TRUST NO.1(H)[EQUITY](CLASS_A1),신한일본인덱스증권자투자신탁제1호(H)[주식](종류A1),KR5119450060,00000000000000000000,KRZ500329621,0004070,0,주식형,00040067,해외,해당없음,00,M111,해당없음,공모,030480004070,판매중,KR5219662834,Y,00020027,2,높은 위험
KOSPI200 5% +  KIS Bond Index 01Y 95%,KOSPI200 5% + KIS종합채권 01Y 95%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,미래알파분기배당파A,,미래에셋알파분기배당증권자투자신탁(주식혼합-파생형)종류A,미래에셋알파분기배당증권자투자신탁(주식혼합-파생형)종류A,KR5137470070,00000000000000000000,KRZ500585641,0482520,0,06,00080008,국내,해당없음,00,M109,해당없음,공모,031910482520,판매완료,KR5225146558,Y,00020088,NULL,
KOSPI200 70% + HANG SENG CHINA(H) CR 30%,KOSPI200 70% + 항셍H주 CR 30%,KRW,Y,000,아시아,,,,,,10,,,,,,0,000000000000,0,배당,동양듀얼인덱스자H주A,,동양듀얼인덱스증권자투자신탁H(주식)Class A,동양듀얼인덱스증권자투자신탁H(주식)Class A,KR5118450020,00000000000000000000,KRZ500554161,00098A0,0,주식형,00040007,해외,해당없음,00,V101,해당없음,공모,0310100098A0,판매완료,KR5107921029,Y,00020004,NULL,
MSCI BRAZIL(in KRW) 40% + Bloomberg EMERGING AMERICAS: BRAZIL(in KRW) 60%,MSCI BRAZIL(원화환산) 40% + Bloomberg EMERGING AMERICAS: BRAZIL(원화환산) 60%,KRW,N,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래브라질UH채혼파C2,,MIRAEASSET  BRAZIL MULTI MARKET FUND(UH)(BOND HYBRID-DERIVATIVES)C2,미래에셋브라질멀티마켓증권자투자신탁(UH)(채권혼합-파생형)종류C2,KR513509044M,00000000000000000000,KRZ500665773,483023,0,06,00080008,해외,해당없음,00,M109,해당없음,공모,031910483020,판매완료,KR5225965627,Y,00020027,NULL,
채권종합 3M~1Y,종합채권 3개월~1년,KRW,,000,국내,,,,,16159271922.0000,20,,,,,,0,0010186C8884,0,배당,신한1.5년만기투자형증권2호[채권](C-r),,SH 1.5YEARS MATURITY INVESTMENT TYPE SECURITY INVESTMENT TRUST NO.2[BOND](CLASS_C-R),신한1.5년만기투자형증권투자신탁제2호[채권](종류C-r),KR5117420068,11111A327600131ZZZZ5,KRZ502535307,0272960,0,채권형,00040067,국내,해당없음,00,D102,해당없음,공모,030480272960,판매완료,K55210DZ1562,Y,00020020,NULL,
KOSPI 200,KOSPI200,KRW,,000,국내,295.01,3.72,59.22,126.40,96522946296.0000,10,8.96,236.12,,,,0,0010183C2581,0,배당,교보악사파워인덱스자2호(주식)CR,,교보악사파워인덱스증권자투자신탁2호[주식]Class C-R,교보악사파워인덱스증권자투자신탁2호[주식]Class C-R,KR5120451000,12113A120600171ZZ122,KRZ501362377,0214501,0,주식형,00040001,국내,해당없음,00,V101,해당없음,공모,030400214501,판매중,K55207BT7598,Y,00020020,2,높은 위험
KOSPI200 5% +  KAP Bond Index 01Y 95%,KOSPI200 5% + 종합채권 01Y 95%,KRW,,000,국내,51.25,-1.64,18.46,36.32,419392621.0000,10,3.30,40.50,35.10,31.41,,0,0010186C7848,0,배당,신한코리아롱숏청년형소장증권[주식](Ce),,SH KOREA LONG SHORT YOUTH INCOME TAX DEDUCTION LONG-TERM SECURITY FEEDER INVESTMENT TRUST [EQUITY](C,신한코리아롱숏청년형소득공제장기증권자투자신탁[주식](종류C-e),KR5119450147,12113612004011111ZZ2,KRZ502505204,0270480,0,주식형,00040067,국내,개인,00,M109,해당없음,공모,030480270480,판매중,K55210DS1611,Y,00020054,3,다소 높은 위험
S&P500 CR 60% + MSCI EUROPE CR 40%,S&P500 CR 60% + MSCI EUROPE CR 40%,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,대신유럽미국주재C-i,,DAESHIN MORNING STAR EUROPE US FEEDER FUND(EQUITY-FOFs)C-i,대신모닝스타유럽미국증권투자신탁(주식-재간접형)C-i,KR512709010M,00000000000000000000,KRZ501850826,44026,0,재간접,00040004,해외,해당없음,00,C103,해당없음,공모,030330044021,판매완료,KR5203AM0449,Y,00020088,NULL,
KAP Bond Index 02Y 90%,종합채권02Y 90%,KRW,,000,국내,1.58,-0.05,-0.28,-0.34,46153757595.0000,10,0.38,-0.17,4.69,17.51,16.76,0,0010660C5757,0,배당,한국투자골드플랜연금전환형자1(채권)Ce,,KM PENSION BOND TRUST A1CLASS 00,한국투자골드플랜연금증권전환형자투자신탁 1(채권) 종류Ce,KR5113420015,11111612036013223ZZ5,KRZ501059917,0003556,0,채권형,00040024,국내,개인,00,D102,해당없음,공모,032280003556,판매중,KR5101AT3597,Y,00020081,5,낮은 위험
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,55.93,1.90,17.98,31.32,51006735181.0000,10,3.14,47.19,55.76,61.36,,0,0010198C5471,0,배당,KB밸류초이스30투자신탁(채권혼합)C퇴직e,,KB VALUE CHOICE 30 SECURITIES FUND(BOND MIXED) C-RPE,KB 밸류 초이스 30 증권 투자신탁(채권혼합) C-퇴직e 클래스,KR5127430035,14111A12060012211ZZ4,KRZ50188533E,0002K51,0,채권혼합,00040035,국내,해당없음,00,D102,해당없음,공모,030230002K51,판매중,K55223DO1339,Y,00050004,4,보통 위험
MSCI EUROPE SMALL CAP,MSCI EUROPE SMALL CAP,KRW,Y,000,유럽,11.12,0.66,1.74,1.72,752707442.0000,10,-0.62,1.74,7.00,17.53,3.91,0,0010173C5558,0,배당,삼성아문디유럽중소형자(H)(주식재간접)Ce,,삼성아문디유럽중소형증권자투자신탁(H)[주식-재간접형]_CE,삼성아문디유럽중소형증권자투자신탁(H)[주식-재간접형]_Ce,KR5114490197,16123612018241113ZZB,KRZ501977024,01MA300,0,재간접,00040010,해외,해당없음,00,V102,해당없음,공모,0302001MA300,판매중,K55105B21893,Y,00020088,2,높은 위험
MSCI ACWI Health Care,MSCI ACWI Health Care,KRW,N,000,글로벌,2.82,-13.58,-16.78,-23.68,7860070696.0000,10,-2.64,-22.70,0.51,-4.60,-48.14,0,0010192C7188,0,배당,DB차이나바이오헬스케어자투자UH[주식]CP,,DB차이나바이오헬스케어증권자투자신탁(UH)[주식] 종류 C-P,DB차이나바이오헬스케어증권자투자신탁(UH)[주식] 종류 C-P,KR5131450108,12123A12036171111ZZ1,KRZ50233350A,0062721,0,주식형,00040006,해외,개인,00,M111,해당없음,공모,030190062721,판매중,K55216CJ4207,Y,00020081,1,매우 높은 위험
MSCI GERMANY,MSCI GERMANY,KRW,Y,000,유럽,18.35,0.14,2.86,0.77,5561831372.0000,10,-2.79,1.98,23.98,37.96,41.12,0,0010206C0465,0,배당,베어링독일증권자투자(H)(주식재간접)CP2e,,베어링독일증권자투자신탁[H](주식-재간접형)Class C-P2e,베어링독일증권자투자신탁[H](주식-재간접형)Class C-P2e,KR5156490026,16123A1206008110120B,KRZ50200740H,0068911,0,재간접,00080019,해외,해당없음,00,DEU ,해당없음,공모,032530068911,판매중,K55302BU0115,Y,00020081,3,다소 높은 위험
S&P 500(KRW),S&P 500(KRW),KRW,N,000,남미/북미,25.77,1.86,11.12,9.15,9371714409.0000,10,-0.15,25.66,47.91,93.92,113.17,0,000000000000,0,배당,삼성미국코어주식자UH(주식)Ce,,삼성미국코어주식증권자투자신탁UH[주식]CE,삼성미국코어주식증권자투자신탁UH[주식]Ce,KR5114450269,00000000000000000000,KRZ500613566,02MD500,0,주식형,00040010,해외,해당없음,00,M111,해당없음,공모,0302002MD500,판매중,KR5105177327,Y,00020004,3,다소 높은 위험
MSCI BRAZIL CR 50% + MSCI RUSSIA CR 50%,MSCI BRAZIL CR 50% + MSCI RUSSIA CR 50%,KRW,Y,000,글로벌,,,,,0.0000,10,,,,,,0,000000000000,0,배당,미래에셋브라질러시아업종대표자1(주식)C2,,MIRAE ASSET BRAZIL RUSSIA SECTOR LEADERCLASS 07,미래에셋브라질러시아업종대표증권자투자신탁1호(주식)C2,KR510902540M,00000000000000000000,KRZ500466027,532523,0,주식형,00080008,해외,해당없음,00,N138,해당없음,공모,031910532520,판매중,KR5301984930,Y,00020027,2,높은 위험
MSCI NORTH AMERICA,MSCI NORTH AMERICA,KRW,N,000,남미/북미,28.00,0.92,10.81,10.70,89909782849.0000,10,-1.00,34.39,45.02,95.63,131.71,0,0010205C5455,0,배당,미래에셋미국배당커버드콜자(주식)(UH)CP2e,,미래에셋미국배당커버드콜액티브증권자투자신탁(주식)(UH)종류C-P2e,미래에셋미국배당커버드콜액티브증권자투자신탁(주식)(UH)종류C-P2e,KR5153450602,12123612060101401ZZ2,KRZ50210890H,0480750,0,주식형,00080008,해외,해당없음,00,C101,해당없음,공모,031910480750,판매중,K55301C65992,Y,00020027,3,다소 높은 위험
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,N,410,국내,15.37,-0.98,6.37,9.68,176345349225.0000,10,2.82,18.49,24.82,46.14,,0,0010660C7687,0,배당,한투OCIO알아서자투자(채-재)CR2,,한국투자OCIO알아서증권자투자신탁(채권혼합-재간접형)C-R2,한국투자OCIO알아서증권자투자신탁(채권혼합-재간접형)C-R2,KR5113490119,16133A120600121ZZZZ4,KRZ502483134,0007G04,0,재간접,00040024,국내외혼합,해당없음,00,D102,해당없음,공모,032280007G04,판매중,K55101DN1048,Y,00020020,4,보통 위험
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,5.61,-0.04,8.07,-1.99,55631058716.0000,10,-1.16,5.15,15.66,43.62,4.70,0,000000000000,0,배당,미래에셋퇴직플랜GL그레이트자1(주식)C,,미래에셋퇴직플랜글로벌그레이트컨슈머증권자투자신탁1호(주식)종류C,미래에셋퇴직플랜글로벌그레이트컨슈머증권자투자신탁1호(주식)종류C,KR5153550001,00000000000000000000,KRZ501863991,0513950,0,주식형,00080008,해외,해당없음,00,M111,해당없음,공모,031910513950,판매중,KR5301A53204,Y,00020004,2,높은 위험
NASDAQ 100,나스닥 100,KRW,Y,410,남미/북미,31.59,0.00,18.70,15.22,764007235822.0000,10,1.57,30.36,44.94,85.56,91.91,0,0010198C3012,0,배당,KB스타미국나스닥100인덱스자[주-파](H)A,,KB스타 미국 나스닥 100 인덱스 증권 자투자신탁(주식-파생형)(H) A,KB스타 미국 나스닥 100 인덱스 증권 자투자신탁(주식-파생형)(H) A,KR5127470090,1222321200110511126B,KRZ502197721,0002Z31,0,06,00040035,해외,해당없음,00,M111,해당없음,공모,030230002Z31,판매중,K55223C05531,Y,00020054,2,높은 위험
MSCI EUROPE,MSCI EUROPE,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래인덱스로유럽주Ci,,MIRAEASSET  INDEXRO EUROPE FUND(EQUITY)(C-Ci),미래에셋인덱스로유럽증권자투자신탁(주식)종류C-i,KR513502063M,00000000000000000000,KRZ500391293,481113,0,주식형,00080008,해외,법인,00,C103,해당없음,공모,031910481110,판매완료,KR5225730013,Y,00020027,NULL,
KOSPI200 5% +  KAP Bond Index 01Y 95%,KOSPI200 5% + 종합채권 01Y 95%,KRW,,000,국내,24.51,0.06,6.95,10.53,4565404751.0000,10,0.41,16.28,24.37,35.61,54.19,0,0010214C1183,0,배당,마이다스거북이50연금저축자1호(주혼)C,,MIDAS TURTLE 50 PENSION FEEDER FUND NO.1(EQUITY-HYBRID)C,마이다스거북이50연금저축증권자투자신탁1호(주식혼합)C,KR513403007M,13113412036012111265,KRZ501844861,53598,0,주식혼합,00080005,국내,개인,00,C103,해당없음,공모,031740053597,판매중,KR5303AL6123,Y,00020081,5,낮은 위험
MSCI ACWI Energy,MSCI ACWI Energy,KRW,N,000,글로벌,43.14,2.10,4.22,31.97,10212550062.0000,10,-0.94,49.66,47.23,84.14,185.11,0,0011973C0475,0,배당,iM에셋월드에너지자(주식재간접)(UH)CPe,,IM ASSET WORLD ENERGY FUND - UN - HEDGED FEEDERCLASS  C-PE,iM에셋월드에너지증권자투자신탁(주식-재간접형)(UH)(C-Pe),KR5181450043,16123612069021500000,KRZ50151924F,0F0462,0,재간접,00080035,해외,개인,00,M112,해당없음,공모,0337500F0450,판매중,K55366BU9762,Y,00020054,2,높은 위험
MSCI BRIC,MSCI BRIC,KRW,Y,000,글로벌,26.18,-5.75,0.67,-1.69,2454302381.0000,10,-2.95,16.57,36.75,39.72,-7.38,0,0010205C4697,0,배당,미래에셋퇴직플랜BRICS업종자1(주)CP2e,,미래에셋퇴직플랜BRICs업종대표증권자투자신탁1호(주식) 종류C-P2e,미래에셋퇴직플랜BRICs업종대표증권자투자신탁1호(주식) 종류C-P2e,KR5153450560,12123A1206012111223B,KRZ501465042,0513631,0,주식형,00080008,해외,해당없음,00,D102,해당없음,공모,031910513631,판매중,K55301BW0155,Y,00020027,3,다소 높은 위험
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,21.21,0.36,6.11,12.03,1698136332.0000,10,0.30,16.25,19.09,27.81,30.56,0,0010205C3250,0,배당,미래에셋스마트롱숏30증권자2(채-혼)Ae,,미래에셋스마트롱숏30증권자투자신탁2호(채권혼합)A-E,미래에셋스마트롱숏30증권자투자신탁2호(채권혼합)A-e,KR510904141M,14113612001012111265,KRZ502034182,0484620,0,채권혼합,00080008,국내,해당없음,00,D102,해당없음,공모,031910484620,판매중,K55301BA3627,Y,00020088,5,낮은 위험
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,49.43,-1.62,17.99,35.19,9710159335.0000,10,3.23,39.28,,,,0,0010186C4519,0,배당,신한코리아롱숏증권자[주식]C-re,,SHBNPP Korea Long Short Security Feeder [Equity](Class_C-re),신한코리아롱숏증권자투자신탁[주식](종류C-re),KR5119450058,12113612060011111ZZ4,KRZ50186865E,0251200,0,주식형,00040067,국내,해당없음,00,F103,해당없음,공모,030480251200,판매중,K55210C79855,Y,00020054,3,다소 높은 위험
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,14.27,0.49,6.85,8.25,56486534604.0000,10,0.51,14.65,20.65,34.21,23.61,0,0010182C3396,0,배당,키움키워드림적격TDF2025제1[채혼재]CP2e퇴,,키움키워드림적격TDF2025증권투자신탁제1호[채권혼합-재간접형] Class C-P2e(퇴직연금),키움키워드림적격TDF2025증권투자신탁제1호[채권혼합-재간접형] Class C-P2e(퇴직연금),KR5123490065,16121A120600211ZZZZC,KRZ50224310A,0008310,0,재간접,00080052,해외,해당없음,00,C103,해당없음,공모,030270008310,판매중,K55206C95636,Y,00020004,4,보통 위험
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,N,000,글로벌,20.51,-0.21,9.26,11.14,125977010192.0000,10,1.28,21.00,32.38,,,0,0010660C8085,0,배당,한국투자적격TDF알아서ETF포커스2030(주혼재)(CRe),,한국투자적격TDF알아서ETF포커스2030증권투자신탁(주식혼합-재간접형)(C-Re),한국투자적격TDF알아서ETF포커스2030증권투자신탁(주식혼합-재간접형)(C-Re),KR5113490169,161216120600211ZZZZ3,KRZ502528643,0007J66,0,재간접,00040024,해외,법인,00,G115,해당없음,공모,032280007J66,판매중,K55101DX8306,Y,00020027,4,보통 위험
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,27.75,-0.71,12.84,17.50,63158178767.0000,10,1.04,27.05,33.89,54.34,,0,0010660C7070,0,배당,한국투자적격TDF알아서2050H(주혼재)(CPe),,한국투자적격TDF알아서2050증권자투자신탁H(주식혼합-재간접형)(C-Pe),한국투자적격TDF알아서2050증권자투자신탁H(주식혼합-재간접형)(C-Pe),KR5113490095,161236120360211ZZZZC,KRZ502363969,0005W24,0,재간접,00040024,해외,개인,00,F103,해당없음,공모,032280005W24,판매중,K55101CU1628,Y,00020020,3,다소 높은 위험
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,62.72,0.85,17.00,32.65,13470034469.0000,10,3.60,51.70,58.82,68.97,57.41,0,000000000000,0,배당,미래에셋퇴직플랜자1호(채권혼합)C,,미래에셋 퇴직플랜 증권 자투자신탁1호(채권혼합)C,미래에셋 퇴직플랜 증권 자투자신탁1호(채권혼합)C,KR518104012M,00000000000000000000,KRZ501211471,51303C,0,채권혼합,00080008,국내,해당없음,00,C103,해당없음,공모,031910513031,판매중,K55301BV2616,Y,00020088,4,보통 위험
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,19.69,-0.14,4.03,8.68,19328836062.0000,10,2.30,12.29,,,,0,0010199C4152,0,배당,흥국공모주로우볼채움플러스1호[채혼]Cp2,,흥국공모주로우볼채움플러스증권투자신탁1호[채권혼합]C-p2,흥국공모주로우볼채움플러스증권투자신탁1호[채권혼합]C-p2,KR5139430090,14111A120600121ZZZZ5,KRZ502008678,0005870,0,채권혼합,00040021,국내,해당없음,00,D102,해당없음,공모,032560005870,판매중,K55224B38383,Y,00020011,5,낮은 위험
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,,1.01,13.93,19.02,28211750829.0000,10,1.53,,,,,0,0010186C00AI,0,배당,신한마음편한적격TDF2060[주혼재](Cre),,신한마음편한적격TDF2060증권자투자신탁[주식혼합-재간접형](종류C-re),신한마음편한적격TDF2060증권자투자신탁[주식혼합-재간접형](종류C-re),KR5117490413,161236120600211ZZZZB,KRZ50260790B,0275280,0,재간접,00040067,해외,해당없음,00,C101,해당없음,공모,030480275280,판매중,K55210EF5863,Y,00020020,2,높은 위험
KAP Treasury 02Y 90%,국공채02Y 90%,KRW,,000,국내,-1.23,-0.04,-0.64,-1.07,75910646792.0000,10,0.67,-2.79,2.67,8.04,4.60,0,000000000000,0,배당,KINDEX국공채액티브,,한국투자KINDEX중장기국공채액티브증권상장지수투자신탁(채권),한국투자KINDEX중장기국공채액티브증권상장지수투자신탁(채권),KR5113420060,00000000000000000000,KR7272910001,009001D,0,채권형,00040024,국내,해당없음,00,M113,해당없음,공모,03228009001D,판매완료,K55101BQ9602,,00020081,5,낮은 위험
KOSDAQ 70% + KOSPI 30%,KOSDAQ 70% + KOSPI 30%,KRW,,000,국내,151.50,-3.09,18.55,58.65,35105218419.0000,10,14.93,112.47,103.70,137.44,117.61,0,000000000000,0,배당,미래에셋코스닥혁신주F,,미래에셋코스닥혁신성장증권자투자신탁(주식)F,미래에셋코스닥혁신성장증권자투자신탁(주식)F,KR510902988M,00000000000000000000,KRZ50206799A,46651F,0,주식형,00080008,국내,해당없음,00,M109,해당없음,공모,031910466510,판매중,K55301BE5875,Y,00020004,2,높은 위험
MSCI CHINA CR 40% + 국공채01Y 60%,MSCI CHINA CR 40% + 국공채01Y 60%,KRW,Y,000,아시아,6.97,-2.91,-2.40,-2.87,441330744.0000,10,-0.82,2.87,12.35,8.61,-6.79,0,0010654C0409,0,배당,키움슈로더차이나퇴직40자(채혼-재)Ce,,키움슈로더차이나퇴직연금밸런스드40증권자투자신탁(채권혼합-재간접형) 종류C-e,키움슈로더차이나퇴직연금밸런스드40증권자투자신탁(채권혼합-재간접형) 종류C-e,KR5142430010,1613361206017211126D,KRZ501677392,0007A91,0,채권혼합,00040013,국내외혼합,해당없음,00,D106,해당없음,공모,032580007A91,판매중,K55230BT8290,Y,00020027,4,보통 위험
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,24.01,0.79,9.38,13.00,360006182385.0000,10,1.47,23.52,31.12,53.58,47.03,0,0010186C3805,0,배당,신한마음편한적격TDF2030[주혼재](Cre),,신한마음편한적격TDF2030증권자투자신탁[주식혼합-재간접형](종류C-re),신한마음편한적격TDF2030증권자투자신탁[주식혼합-재간접형](종류C-re),KR5117490045,161216120010221ZZZZ3,KRZ50215566E,0252660,0,재간접,00040067,해외,해당없음,00,V102,해당없음,공모,030480252660,판매중,K55210BU2385,Y,00020020,3,다소 높은 위험
KOSPI200 50% + KAP Bond Index 01Y 50%,KOSPI200 50% + 종합채권01Y 50%,KRW,,000,국내,110.36,1.33,27.06,52.47,12604729146.0000,10,4.65,89.31,102.64,116.02,93.52,0,0010173C6643,0,배당,삼성클래식60연금전환자투자1(주식혼합)C,,삼성클래식60연금증권전환형자투자신탁제1호(주식혼합)C,삼성클래식60연금증권전환형자투자신탁제1호(주식혼합)C,KR5114440021,13113412036012111114,KRZ501749321,0209922,0,주식혼합,00040010,국내,개인,00,G110,해당없음,공모,030200209922,판매중,K55105BH0962,Y,00020081,3,다소 높은 위험
S&P 500 95% + CALL 5%,S&P 500 95% + CALL 5%,KRW,Y,000,남미/북미,17.70,-0.74,10.34,7.17,256674214309.0000,10,0.10,19.39,,,,0,0010173C5884,0,배당,삼성미국S&P500인덱스증권자H[주]Cp(퇴직),,삼성미국S&P500인덱스증권자투자신탁H[주식]_CP(퇴직연금),삼성미국S&P500인덱스증권자투자신탁H[주식]_Cp(퇴직연금),KR5114450628,12123A1206010710120B,KRZ50201556C,02MFY00,0,주식형,00040010,해외,해당없음,00,USA ,해당없음,공모,0302002MFY00,판매중,K55105B77424,Y,00020004,3,다소 높은 위험
HO CHI MINH STOCK INDEX(KRW),베트남 호치민(KRW),KRW,N,000,글로벌,26.73,-3.23,-0.71,4.08,88424720212.0000,10,-2.46,38.12,30.10,67.12,64.26,0,0010205C3577,0,배당,미래에셋베트남자1호(UH)(주식)CPe,,MIRAEASSET VIETNAM FEEDER FUND NO.1(UH)(EQUITY)C-Pe,미래에셋베트남증권자투자신탁1호(UH)(주식)C-Pe,KR510902976M,12123612036191101262,KRZ50205320C,48054B,0,주식형,00080008,해외,개인,00,G118,해당없음,공모,031910480540,판매중,K55301BC5232,Y,00020054,2,높은 위험
MSCI ACWI,MSCI ACWI,KRW,N,000,글로벌,36.64,1.02,12.35,13.80,40504772473.0000,10,-0.81,37.16,54.01,,,0,0010205C6060,0,배당,미래에셋MSCIAC월드인덱자UH(주식)C-P2,,MIRAE ASSET MSCIACWORLD INDEX FEEDER INVESTMENT TRUST (EQUITY)(UH) CLASS C-P2,미래에셋MSCIAC월드인덱스증권자투자신탁(주식)(UH) 종류C-P2,KR5153450875,12123A12060027101213,KRZ50214267E,0537440,0,주식형,00080008,해외,해당없음,00,D102,해당없음,공모,031910537440,판매중,K55301D89578,Y,00020027,3,다소 높은 위험
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,Y,000,글로벌,,,,,0.0000,10,,,,,,0,000000000000,0,배당,미래에셋평생소득안정혼합자산자투자 C-P,,미래에셋평생소득안정혼합자산자투자신탁 종류C-P,미래에셋평생소득안정혼합자산자투자신탁 종류C-P,KR5153480014,00000000000000000000,KRZ502166039,0308330,0,혼합자산,00080008,국내외혼합,개인,00,D102,해당없음,공모,031910308330,판매완료,K55301BU5271,Y,00020004,NULL,
DWGRTT 90%,DWGRTT 90%,KRW,Y,000,남미/북미,2.19,1.15,5.76,12.03,13624709527.0000,10,0.26,7.01,15.51,17.22,,0,0010173C9241,0,배당,삼성누버거버먼미국리츠H(R-재)Cp(퇴직),,삼성누버거버먼미국리츠부동산자투자신탁H[REITS-재간접형]_CP(퇴직),삼성누버거버먼미국리츠부동산자투자신탁H[REITs-재간접형]_Cp(퇴직),KR5114460008,17123A120601044ZZ26B,KRZ50239584E,01MHA00,0,재간접,00040010,해외,해당없음,00,C101,해당없음,공모,0302001MHA00,판매중,K55105DJ9357,Y,00020004,2,높은 위험
MSCI South East Asia(in KRW) 95% + Call 5%,MSCI South East Asia(원화환산) 95% + Call 5%,KRW,N,000,아시아,9.82,-2.08,0.60,3.47,147173423714.0000,10,-0.94,15.86,32.36,47.69,38.45,0,0010173C2395,0,배당,삼성아세안증권자투자신탁 2(주식)(C1),,삼성아세안증권자투자신탁 2[주식](C1),삼성아세안증권자투자신탁 2[주식](C1),KR5114450241,12123412001051101ZZ4,KRZ500337886,02M1800,0,주식형,00040010,해외,해당없음,00,V102,해당없음,공모,0302002M1800,판매중,KR5105671394,Y,00020054,3,다소 높은 위험
KAP Bond Index 02Y 90%,종합채권02Y 90%,KRW,,000,국내,3.72,-0.01,0.32,0.82,57607101294.0000,10,0.15,1.59,6.25,12.25,16.46,0,0010199C4560,0,배당,흥국퇴직연금크레딧증권자투자(채권)Ce,,흥국퇴직연금멀티크레딧증권자투자신탁[채권]C-E,흥국퇴직연금멀티크레딧증권자투자신탁[채권]C-e,KR5139420020,11113612060013121ZZ5,KRZ501927892,0001100,0,채권형,00040021,국내,해당없음,00,D102,해당없음,공모,032560001100,판매중,K55224BT5377,Y,00050004,5,낮은 위험
S&P 500(KRW),S&P 500(KRW),KRW,N,000,남미/북미,27.75,1.17,12.63,11.68,437141906108.0000,10,-0.85,33.74,,,,0,0010186C9287,0,배당,신한미국S&P500인덱스증권자(UH)[파생]Cr,,SH US S&P500 INDEX SECURITY FEEDER INVESTMENT TRUST(UH)[EQUITY-DERIVATIVES],신한미국S&P500인덱스증권자투자신탁(UH)[주식-파생형](종류C-r),KR5117473000,12223412060107111222,KRZ50255041A,0273860,0,06,00040067,해외,해당없음,00,C103,해당없음,공모,030480273860,판매중,K55210DT4606,Y,00020054,2,높은 위험
